event,lat,lon,depth,mag
2013-09-06T11:33:54 ,20.1862,122.3336,189.4,6
2013-10-01T03:38:21,53.1368,152.8959,578.4,6.7
2013-10-12T14:30:08,0.6605,122.2063,91.5,5.5
